"filename", "language", "JavaScript", "Markdown", "SCSS", "CSS", "XML", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\jay.patel\Desktop\next1\project-1\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 16, 39
"c:\Users\jay.patel\Desktop\next1\project-1\auth\auth1.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 33, 2, 51
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\allPosts.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 31, 8, 112
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\allposts1.js", "JavaScript", 153, 0, 0, 0, 0, 0, 0, 0, 9, 6, 168
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\blogSmallDetailsComponent.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\blogsFirstComponent.js", "JavaScript", 399, 0, 0, 0, 0, 0, 0, 0, 1, 16, 416
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\blogsFirstSection2.js", "JavaScript", 471, 0, 0, 0, 0, 0, 0, 0, 17, 30, 518
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\blogsForm.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 48, 6, 142
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\faqComponent.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 167, 7, 224
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\gadgetComponent.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 47, 4, 122
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\gadgetSoftwareComponent.js", "JavaScript", 205, 0, 0, 0, 0, 0, 0, 0, 0, 10, 215
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\gamesComponent.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 48, 8, 124
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\getCategoryPosts.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 1, 11, 66
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\lastComponent.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 5, 108
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\leftMenuComponent.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\login1.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 19, 25, 152
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\navbarComponent.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 11, 9, 101
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\otpsection.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 48, 15, 147
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\podcastImageComponent.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\shareComponent.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\sideBarMenuComponent.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 60, 9, 167
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\signinComponent.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 24, 13, 117
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\signup1.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 44, 18, 157
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\signupComponent.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 104, 39, 223
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\technologyComponent.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 1, 4, 106
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\userUpdateForm.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 34, 7, 157
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\usernavbar.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 10, 4, 51
"c:\Users\jay.patel\Desktop\next1\project-1\components\blogsection\usersForm.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 47, 8, 159
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\adviceComponent.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 0, 2, 21, 124
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\faqTestComponent.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 23, 8, 200
"c:\Users\jay.patel\Desktop\next1\project-1\components\homepage\firm1Component.js", "JavaScript", 151, 0, 0, 0, 0, 0, 0, 0, 4, 3, 158
